"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"Biotech_101"	"V1-24_J5*02"	8	0.00118203309692671
"Biotech_101"	"V1-58_J4*02"	8	0.00118203309692671
"Biotech_101"	"V1-69_J4*02,J5*02"	8	0.00118203309692671
"Biotech_101"	"V2-26_J4*02"	8	0.00118203309692671
"Biotech_101"	"V2-5_J6*02"	8	0.00118203309692671
"Biotech_101"	"V3-15_J3*02"	8	0.00118203309692671
"Biotech_101"	"V3-20_J4*02"	8	0.00118203309692671
"Biotech_101"	"V3-20_J6*02"	8	0.00118203309692671
"Biotech_101"	"V3-30-3_J2*01"	8	0.00118203309692671
"Biotech_101"	"V3-33_J5*02"	8	0.00118203309692671
"Biotech_101"	"V3-64_J3*02"	8	0.00118203309692671
"Biotech_101"	"V3-74_J3*02"	8	0.00118203309692671
"Biotech_101"	"V3-74_J5*02"	8	0.00118203309692671
"Biotech_101"	"V3-9_J2*01"	8	0.00118203309692671
"Biotech_101"	"V4-31_J3*02"	8	0.00118203309692671
"Biotech_103"	"V3-11_J2*01"	8	0.000890670229347584
"Biotech_103"	"V3-64_J4*02"	8	0.000890670229347584
"Biotech_103"	"V3-7_J2*01"	8	0.000890670229347584
"Biotech_103"	"V3-7_J4*02,J5*02"	8	0.000890670229347584
"Biotech_103"	"V4-39_J2*01"	8	0.000890670229347584
"Biotech_103"	"V4-39_J4*02,J5*02"	8	0.000890670229347584
"Biotech_105"	"V2-5_J2*01"	8	0.000486825290573845
"Biotech_105"	"V3-13_J2*01"	8	0.000486825290573845
"Biotech_105"	"V3-20_J3*02"	8	0.000486825290573845
"Biotech_105"	"V3-30-3_J4*02,J5*02"	8	0.000486825290573845
"Biotech_105"	"V3-49_J5*02"	8	0.000486825290573845
"Biotech_105"	"V4-38-2_J2*01"	8	0.000486825290573845
"Biotech_106"	"V1-18_J4*02,J5*02"	8	0.000798084596967279
"Biotech_106"	"V2-5_J3*02"	8	0.000798084596967279
"Biotech_106"	"V3-20_J6*02"	8	0.000798084596967279
"Biotech_106"	"V3-30_J1*01"	8	0.000798084596967279
"Biotech_106"	"V3-7_J4*02,J5*02"	8	0.000798084596967279
"Biotech_106"	"V4-30-4_J3*02"	8	0.000798084596967279
"Biotech_107"	"V1-8_J2*01"	8	0.000195279127102302
"Biotech_107"	"V2-5_J6*02"	8	0.000195279127102302
"Biotech_107"	"V3-11_J1*01"	8	0.000195279127102302
"Biotech_107"	"V3-13_J5*02"	8	0.000195279127102302
"Biotech_107"	"V3-49_J1*01"	8	0.000195279127102302
"Biotech_107"	"V3-64_J4*02,J5*02"	8	0.000195279127102302
"Biotech_107"	"V3-74_J1*01"	8	0.000195279127102302
"Biotech_107"	"V3-7_J1*01"	8	0.000195279127102302
