"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"HC_22_BB"	"J2*01"	938	0.0283520735098537	NA
"BC_12"	"J2*01"	929	0.0230962384705268	NA
"HC_11_BB"	"J2*01"	923	0.0227580935473531	NA
"Biotech_090"	"J2*01"	912	0.0264862196149043	NA
"BC_17"	"J2*01"	909	0.0215965787598004	NA
"CD0838"	"J6*02"	908	0.0772502977709716	NA
"Biotech_087"	"J2*01"	889	0.025275787558285	NA
"Biotech_132"	"J5*02"	889	0.11886615857735	NA
"HC_16_BB"	"J2*01"	882	0.0240320427236315	NA
"HC_37_BB"	"J6*02"	881	0.342801556420233	NA
"Biotech_120"	"J5*02"	872	0.115557911476279	NA
"Biotech_131"	"J6*02"	871	0.0625448800804251	NA
"BC_13"	"J1*01"	869	0.0126355890307384	NA
"CD1114"	"J4*02"	861	0.51961375980688	NA
"HC_23_BB"	"J1*01"	859	0.016315289648623	NA
"CD1120"	"J2*01"	855	0.0259531325886353	NA
"HC_24_BB"	"J2*01"	853	0.0194473576216315	NA
"Biotech_101"	"J3*02"	850	0.125591016548463	NA
"CD0497"	"J1*01"	846	0.0202906893078141	NA
"HC_34_BB"	"J4*02"	837	0.512553582363748	NA
"BC_16"	"J1*01"	836	0.0161886872833601	NA
"Biotech_064"	"J2*01"	835	0.0243340910415574	NA
"CD1081"	"J2*01"	829	0.0272088748851254	NA
"Biotech_075"	"J5*02"	828	0.110887906789875	NA
"Biotech_072"	"J3*02"	826	0.115913555992141	NA
"Biotech_111"	"J2*01"	822	0.0241352986082565	NA
"Biotech_092"	"J2*01"	817	0.017815477877843	NA
"Biotech_075"	"J6*02"	808	0.108209454935048	NA
"HC_31_BB"	"J2*01"	804	0.0256002037827167	NA
"HC_15_BB"	"J2*01"	801	0.0326565557729941	NA
"Biotech_108"	"J2*01"	795	0.0186435908259463	NA
"BC_10"	"J2*01"	785	0.0200101962783584	NA
"HC_09_BB"	"J2*01"	781	0.0288788640733619	NA
"CD1208"	"J1*01"	776	0.0165106382978723	NA
"BC_11"	"J1*01"	771	0.0148431935005679	NA
"CD1211"	"J1*01"	759	0.0191526407428903	NA
"Biotech_072"	"J5*02"	754	0.105809710917766	NA
